iter	Passed	Remaining
0	1	102
1	2	105
2	3	105
3	3	93
4	4	94
5	6	94
6	7	93
7	7	90
8	8	89
9	9	88
10	10	88
11	12	90
12	13	89
13	14	86
14	15	85
15	15	83
16	16	81
17	17	79
18	18	79
19	19	78
20	20	77
21	21	75
22	22	74
23	23	73
24	24	73
25	25	71
26	26	71
27	27	69
28	28	68
29	28	67
30	29	66
31	30	65
32	32	64
33	32	63
34	33	63
35	34	62
36	36	61
37	37	60
38	38	59
39	39	59
40	40	58
41	41	56
42	42	56
43	43	55
44	45	55
45	46	54
46	47	54
47	49	53
48	50	52
49	51	51
50	53	51
51	53	49
52	55	49
53	57	48
54	57	47
55	58	46
56	59	44
57	60	43
58	62	43
59	63	42
60	64	40
61	65	40
62	67	39
63	67	38
64	69	37
65	70	36
66	71	35
67	72	34
68	74	33
69	75	32
70	76	31
71	78	30
72	80	29
73	81	28
74	83	27
75	85	27
76	87	26
77	89	25
78	90	23
79	91	22
80	91	21
81	92	20
82	93	19
83	95	18
84	96	17
85	97	15
86	98	14
87	100	13
88	102	12
89	102	11
90	104	10
91	106	9
92	108	8
93	109	7
94	111	5
95	113	4
96	114	3
97	116	2
98	118	1
99	119	0
